id;invoice_number;issue_date;due_date;amount
1;octave moralise;2024-10-21T07:31:32;2024-10-20T14:37:11;27304.56
2;needily narrowcast phew;2024-10-20T13:12:35;2024-10-20T14:00:21;4260.17
3;uh-huh near;2024-10-20T19:55:44;2024-10-21T01:41:04;16652.73
4;fleck thunderbolt;2024-10-21T07:26:48;2024-10-20T20:32:39;28276.45
5;custody epic helpfully;2024-10-20T18:19:35;2024-10-21T09:26:04;1181.84
6;debit;2024-10-20T14:08:44;2024-10-20T15:32:09;28089.18
7;instead um exactly;2024-10-21T06:25:13;2024-10-20T14:51:12;13622.9
8;motionless mountain;2024-10-20T11:36:42;2024-10-21T00:06:06;29692.7
9;mould per;2024-10-20T17:47:42;2024-10-20T23:39:01;32684.23
10;yuck if;2024-10-21T00:31:38;2024-10-20T19:49:10;1065.76
