id;tracking_number;shipped_date;delivery_date
1;meh;2024-10-20T19:30:49;2024-10-21T06:56:47
2;um;2024-10-20T17:33:27;2024-10-21T12:04:02
3;royal;2024-10-20T22:41:40;2024-10-21T06:56:36
4;cappelletti;2024-10-20T21:54:39;2024-10-21T03:06:33
5;sheathe as midst;2024-10-21T06:31:17;2024-10-21T02:43:45
6;unless gracefully;2024-10-21T11:16:24;2024-10-20T20:15:43
7;dress;2024-10-20T18:48:42;2024-10-21T00:22:12
8;bustling hence instead;2024-10-21T11:59:47;2024-10-21T10:12:05
9;pip serpentine intensely;2024-10-20T15:16:37;2024-10-20T16:39:33
10;judicious;2024-10-21T03:39:02;2024-10-20T18:41:10
