id;rating;comment;review_date
1;3;../fake-data/blob/hipster.txt;2024-10-20T17:45:04
2;3;../fake-data/blob/hipster.txt;2024-10-21T11:24:54
3;1;../fake-data/blob/hipster.txt;2024-10-21T07:27:36
4;2;../fake-data/blob/hipster.txt;2024-10-20T23:30:59
5;2;../fake-data/blob/hipster.txt;2024-10-20T22:27:41
6;3;../fake-data/blob/hipster.txt;2024-10-21T10:26:41
7;1;../fake-data/blob/hipster.txt;2024-10-20T23:47:30
8;2;../fake-data/blob/hipster.txt;2024-10-21T02:18:04
9;2;../fake-data/blob/hipster.txt;2024-10-21T10:16:04
10;1;../fake-data/blob/hipster.txt;2024-10-21T04:10:11
