id;booking_no;note_heitiga;period_type;from_date;to_date;check_in_date;check_out_date;number_of_adults;number_of_preschoolers;number_of_children;booking_price;extra_fee;total_price;booking_status;history_ref_jason
ea64af83-3e07-4077-b8c7-f052783d6819;times;plain;NIGHT;2024-10-21T14:21:20;2024-10-21T13:36:07;2024-10-21T17:14:50;2024-10-20T18:01:26;11315;32484;22697;16310.63;1611.95;3251.18;PENDING;subtract painfully
970d6a94-05f0-4b5c-b090-e9a9b613cd28;pro among;and daintily upon;NIGHT;2024-10-21T08:11:48;2024-10-21T03:56:46;2024-10-21T10:53:43;2024-10-21T13:54:57;22118;921;31885;24494.92;20584.8;21107.54;PENDING;sup confusion incidentally
344c11c1-3eae-4255-8a6b-c0ec52d42dae;whose past;honored meadow;NIGHT;2024-10-21T13:02:20;2024-10-21T15:56:44;2024-10-21T08:43:47;2024-10-21T10:13:34;3354;7228;30921;22981.42;7375.03;23528.06;RESERVED;where
a6a04d1e-48e4-42bc-b93e-ee744250c395;spirit inspect;drat submissive;NIGHT;2024-10-21T05:04:48;2024-10-21T07:22:06;2024-10-21T16:52:07;2024-10-20T22:49:00;24342;12766;24492;22453.72;26308.85;24910.85;PENDING;phew tool braid
4cf55c11-5c94-444a-8997-7e1dc452ead7;instantly;rundown;NIGHT;2024-10-20T23:49:26;2024-10-21T04:49:45;2024-10-21T08:26:57;2024-10-20T21:34:28;18181;8288;8377;382.51;3599.15;32228.61;PENDING;self-reliant oddball except
f416bc85-9c3c-4bf3-8231-889a2d4f499b;along that;only punctuation;NIGHT;2024-10-20T17:40:20;2024-10-21T07:00:37;2024-10-20T23:50:03;2024-10-21T04:06:28;2455;26197;1133;7672.56;7873.02;11140.35;PENDING;quarrelsomely
fc9b1d67-f4ec-4354-b02a-0ad2bbc53faa;contractor electrify;guilty;DAYLIGHT;2024-10-21T10:36:54;2024-10-20T18:53:21;2024-10-20T23:43:06;2024-10-21T16:58:16;9412;26591;20035;26959.67;28772.62;8607.75;PENDING;yet plastic quirkily
c54c6c3a-c957-4a5f-a208-53eb4c37736d;greatly;gah inasmuch ragged;DAYLIGHT;2024-10-21T11:05:02;2024-10-21T08:47:17;2024-10-21T11:02:37;2024-10-21T12:51:48;7184;1960;5248;28231.5;21980.66;10579.09;RESERVED;contrail
f8991c8e-8e56-4b3d-89c5-87483c478322;darling;luck kindheartedly;DAYLIGHT;2024-10-21T05:25:15;2024-10-21T03:27:07;2024-10-20T23:25:20;2024-10-21T16:15:58;23054;10562;24004;4974;6608.78;12076.98;PENDING;indeed
99ab74b9-4f64-4cd0-bcd4-5bbfb2650615;atop supportive;rapidly;NIGHT;2024-10-21T07:08:39;2024-10-21T12:28:27;2024-10-20T19:16:46;2024-10-21T00:11:47;6790;18820;3459;28980.71;6135.91;7136.84;RESERVED;overreact unless hmph
