id;code;name;content_heitiga;discount_type;discount_rate;scope;is_individually_used_only;usage_life_time_limit;usage_limit_per_user;usage_quantity;minimum_spend;maximum_spend;can_be_collected_by_user;sale_price_from_date;sale_price_to_date;publication_status;published_date
e48c56b7-f06e-4107-b542-b5dfd7e77f32;until;knotty citizen with;coaxingly gallery countess;BY_PERCENT;2469.3;SPECIFIED_PRODUCTS;false;24315;7361;301;29528.72;25878.99;false;2024-10-21;2024-10-21;DRAFT;2024-10-21T07:28:42
9cfb9f91-7fe8-4710-a3f6-38726f426381;sonata;reborn so;as excluding cannibalise;BY_FIXED_AMOUNT;18782.64;SPECIFIED_PRODUCTS;true;27575;27835;9789;11162.71;9273.71;true;2024-10-21;2024-10-20;PUBLISHED;2024-10-21T08:23:44
55975a91-8cfd-4982-8af0-74d6febe6ee6;that;lyre;concerning vicinity;BY_PERCENT;23548.46;SPECIFIED_PRODUCTS;false;8387;27410;12332;32341.8;25030.54;false;2024-10-20;2024-10-21;PUBLISHED;2024-10-21T04:04:14
719ca103-931b-4529-b69f-2439076f5520;showy usher safely;on likewise pigpen;lest;BY_FIXED_AMOUNT;3650.28;ALL_PRODUCTS;true;19772;3948;20079;2319.72;18262.21;false;2024-10-20;2024-10-21;DRAFT;2024-10-21T08:32:37
ac58f370-2090-4322-b9a6-caf59f9d30df;ack;ack despite inhibit;whimsical;BY_PERCENT;26540.58;ALL_PRODUCTS;true;16178;27245;5479;18278.3;23703.3;true;2024-10-21;2024-10-21;DRAFT;2024-10-21T05:04:24
dcfed58c-9bc2-4211-9d19-f20200c29e80;which defiantly whoa;attraction as rationalise;awkwardly;BY_FIXED_AMOUNT;13829.76;ALL_PRODUCTS;true;1843;707;22574;9825.85;24191.9;true;2024-10-20;2024-10-21;DRAFT;2024-10-21T00:38:29
b925c5f2-54ae-4490-8b0c-38de61b44c16;small finally;boo apropos;floodlight;BY_PERCENT;27157.14;SPECIFIED_PRODUCTS;false;32086;8060;9372;26992.52;28791.11;true;2024-10-21;2024-10-21;DRAFT;2024-10-21T12:32:28
bf1e732b-0fc9-406f-9a49-6df6055e4f47;beautifully;happily during;blindly;BY_PERCENT;9694.47;SPECIFIED_PRODUCTS;true;31545;27350;30735;8917.52;4510.17;true;2024-10-20;2024-10-20;PUBLISHED;2024-10-21T06:44:55
56ac30d7-a354-4d96-b3cf-f0e6649c8edb;so dense;curry;until clearly;BY_FIXED_AMOUNT;12177.87;ALL_PRODUCTS;false;21065;2212;7558;29925.8;23552.95;false;2024-10-21;2024-10-21;DRAFT;2024-10-20T18:18:52
97368fa1-3628-4114-b937-77d8768e3c46;oddly;aside;whoa;BY_FIXED_AMOUNT;1773.49;ALL_PRODUCTS;false;24021;19735;4194;10057.16;11750.8;true;2024-10-21;2024-10-20;DRAFT;2024-10-20T20:01:03
